moody_lighting,图片属性>光照>氛围光照
bat_wings,人物属性>翅膀>蝙蝠翅膀
fiery_wings,人物属性>翅膀>火焰翅膀|火热的翅膀
hair_wings,人物属性>翅膀>头发做的翅膀|毛翼
mechanical_wings,人物属性>翅膀>机械翼
feathered_wings,人物属性>翅膀>羽翼
black_wings,人物属性>翅膀>黑色的翅膀|黑色之翼
gradient_wings,人物属性>翅膀>渐变翅膀
red_wings,人物属性>翅膀>红色的翅膀|红翼
white_wings,人物属性>翅膀>白色的翅膀
detached_wings,人物属性>翅膀>悬在空中的翅膀|脱离本体的翅膀|分离的翅膀
head_wings,人物属性>翅膀>头上长成翼|头翼
low_wings,人物属性>翅膀>腰部附近的翅膀|低翼
winged_backpack,人物属性>翅膀>带翅膀的背包
winged_hat,人物属性>翅膀>带翅膀的帽子
winged_helmet,人物属性>翅膀>带翼头盔|带翅膀的头盔
bloody_wings,人物属性>翅膀>血腥的翅膀
glowing_wings,人物属性>翅膀>发光的翅膀
animal_ears,人物属性>耳朵>动物耳朵
bat_ears,人物属性>耳朵>蝙蝠耳朵
bear_ears,人物属性>耳朵>熊耳朵
bunny_ears,人物属性>耳朵>兔子耳朵|兔耳
cat_ears,人物属性>耳朵>猫耳朵
cow_ears,人物属性>耳朵>牛耳朵
deer_ears,人物属性>耳朵>鹿角|鹿耳
dog_ears,人物属性>耳朵>狗耳朵
fake_animal_ears,人物属性>耳朵>假动物耳朵
fox_ears,人物属性>耳朵>狐狸耳朵
goat_ears,人物属性>耳朵>山羊角|山羊耳朵
horse_ears,人物属性>耳朵>马耳朵
monkey_ears,人物属性>耳朵>猴耳
panda_ears,人物属性>耳朵>熊猫耳朵
raccoon_ears,人物属性>耳朵>浣熊耳朵
sheep_ears,人物属性>耳朵>羊角|羊耳朵
squirrel_ears,人物属性>耳朵>松鼠耳朵
tiger_ears,人物属性>耳朵>虎耳
wolf_ears,人物属性>耳朵>狼耳朵
pointy_ears,人物属性>耳朵>尖耳朵
robot_ears,人物属性>耳朵>机器人耳朵
extra_ears,人物属性>耳朵>额外的耳朵
ear_piercing,人物属性>耳朵>穿耳洞
earrings,人物属性>耳朵>耳环
single_earring,人物属性>耳朵>单耳环
headphones,人物属性>耳朵>耳机
covering_ears,人物属性>耳朵>捂耳朵|遮住耳朵
blonde_hair,人物属性>发色与发型>金发
silver_hair,人物属性>发色与发型>银发
grey_hair,人物属性>发色与发型>灰发|白发
white_hair,人物属性>发色与发型>白发
brown_hair,人物属性>发色与发型>棕发|茶发|棕色头发
black_hair,人物属性>发色与发型>黑发
purple_hair,人物属性>发色与发型>紫发|紫色头发
red_hair,人物属性>发色与发型>红发|红头发
blue_hair,人物属性>发色与发型>蓝发|蓝发/水色发|蓝色的头发
green_hair,人物属性>发色与发型>绿发|绿色的头发
pink_hair,人物属性>发色与发型>粉发|粉红色的头发
orange_hair,人物属性>发色与发型>橘发|橙色头发
light_blue_hair,人物属性>发色与发型>浅蓝色发|浅蓝发|浅蓝色头发
multicolored_hair,人物属性>发色与发型>多种发色|多彩头发|五彩的头发
colored_inner_hair,人物属性>发色与发型>内外侧不同发色|内侧染色|彩色内毛
gradient_hair,人物属性>发色与发型>纵向渐变发色|渐变头发
streaked_hair,人物属性>发色与发型>挑染|条染|条纹头发
two-tone_hair,人物属性>发色与发型>两种发色|两色头发
colored_tips,人物属性>发色与发型>发尖不同色|彩色提示
very_short_hair,人物属性>发色与发型>很短的头发
short_hair,人物属性>发色与发型>短发
medium_hair,人物属性>发色与发型>中等长度头发|中等长发|中等头发
long_hair,人物属性>发色与发型>长发
very_long_hair_,人物属性>发色与发型>很长的头发
absurdly_long_hair,人物属性>发色与发型>极长的头发|超长的头发|荒谬的长发
big_hair,人物属性>发色与发型>体积很大的蓬松头发|头发很多的|大头发
bald,人物属性>发色与发型>秃|秃头
curly_hair,人物属性>发色与发型>卷发
drill_hair,人物属性>发色与发型>钻头卷|钻头卷/公主卷
twin_drills,人物属性>发色与发型>特指两个钻头卷|双钻头卷
flipped_hair,人物属性>发色与发型>向外翻的头发|外卷发型|翻转的头发
messy_hair,人物属性>发色与发型>凌乱的头发|凌乱发型
pointy_hair,人物属性>发色与发型>较尖的簇状头发(多男性)|尖头头发
bangs,人物属性>发色与发型>刘海
asymmetrical_bangs,人物属性>发色与发型>单侧有刘海|不对称刘海
parted_bangs,人物属性>发色与发型>中分|分开的刘海|分刘海
swept_bangs,人物属性>发色与发型>斜刘海|扫浏海|扫刘海
hair_intakes,人物属性>发色与发型>两边侧发向内弯(尼禄)|进气口发型|头发摄入量
sidelocks,人物属性>发色与发型>有明显侧发|耳前发|侧锁
ahoge,人物属性>发色与发型>呆毛
heart_ahoge,人物属性>发色与发型>心形呆毛|心啊
huge_ahoge,人物属性>发色与发型>较大的呆毛|巨大的_ahoge
antenna_hair,人物属性>发色与发型>天线毛(两根呆毛)
braid,人物属性>发色与发型>有辫子的|编织
braided_bangs,人物属性>发色与发型>把前额的头发绑成辫子|辫子刘海|编织刘海
side_braid,人物属性>发色与发型>垂在侧边的辫子|侧辫|侧编织
double_bun,人物属性>发色与发型>双团子头|双包子
hair_rings,人物属性>发色与发型>各类环形发型|发圈
half_updo,人物属性>发色与发型>将两侧头发后梳并在后方打结|侧发后梳|半髻
one_side_up,人物属性>发色与发型>披肩单马尾|一面朝上
two_side_up,人物属性>发色与发型>披肩双马尾|小型双股辫|两侧向上
hime_cut,人物属性>发色与发型>姬发式|姬切
low-tied_long_hair,人物属性>发色与发型>长发低马尾|直发|低扎长发
ponytail,人物属性>发色与发型>马尾辫
folded_ponytail,人物属性>发色与发型>马尾在后方竖着折起(辉夜)|折叠马尾|折叠马尾辫
front_ponytail,人物属性>发色与发型>绑在胸前的马尾辫|前马尾|前马尾辫
high_ponytail,人物属性>发色与发型>高马尾辫|披在两侧的两条辫子
side_ponytail,人物属性>发色与发型>侧马尾辫
twintails,人物属性>发色与发型>双马尾
low_twintails,人物属性>发色与发型>低双马尾|低扎双尾
bowl_cut,人物属性>发色与发型>蘑菇头|碗切
buzz_cut,人物属性>发色与发型>美式寸头|嗡嗡声
afro,人物属性>发色与发型>爆炸头|非洲人
hairdressing,人物属性>其他毛发相关>理发|美发
cutting_hair,人物属性>其他毛发相关>剪头发
hand_in_own_hair,人物属性>其他毛发相关>手握着头发|手牵自己的头发
adjusting_hair,人物属性>其他毛发相关>调整头发|理头发
grabbing_another's_hair,人物属性>其他毛发相关>抓其他人的头发|抓着对方的头发|抓别人的头发
hair_tucking,人物属性>其他毛发相关>撩头发|头发掖
ruffling_hair,人物属性>其他毛发相关>摸头|蓬松的头发
hair_twirling,人物属性>其他毛发相关>转头发玩|手指卷着头发|卷发
hair_brush,人物属性>其他毛发相关>发刷|毛刷
hair_dryer,人物属性>其他毛发相关>电吹风|吹风机
shampoo,人物属性>其他毛发相关>洗发水
bun_cover,人物属性>其他毛发相关>套在团子头上的织物|包子盖
comb,人物属性>其他毛发相关>梳子
hair_bell,人物属性>其他毛发相关>发铃|头发上系着铃铛
hair_bobbles,人物属性>其他毛发相关>两端有小球的发圈|头绳|毛球
hair_bow,人物属性>其他毛发相关>蝴蝶结发饰|发弓
hair_ribbon,人物属性>其他毛发相关>发带
hairclip,人物属性>其他毛发相关>发夹
hairpin,人物属性>其他毛发相关>发卡|发夹
hair_flower,人物属性>其他毛发相关>花发饰|发花
hair_tubes,人物属性>其他毛发相关>圆柱形发饰(灵梦)|发管
kanzashi,人物属性>其他毛发相关>簪|簪子
hair_tie,人物属性>其他毛发相关>发圈|发带
hairband,人物属性>其他毛发相关>发箍|头箍|发带
headband,人物属性>其他毛发相关>穿过额头的带子|头带
scrunchie,人物属性>其他毛发相关>布面弹性发圈
facial_hair,人物属性>其他毛发相关>胡子|面部毛发
beard,人物属性>其他毛发相关>胡须
goatee,人物属性>其他毛发相关>山羊胡
mustache,人物属性>其他毛发相关>鼻子下的胡须|小胡子
stubble,人物属性>其他毛发相关>胡茬
tentacle_hair,人物属性>其他毛发相关>触手头发|触手毛
floating_hair,人物属性>其他毛发相关>漂浮的头发
blood,人物属性>受伤与医疗>血液
bleeding,人物属性>受伤与医疗>流血的
blood_on_bandages,人物属性>受伤与医疗>带血的绷带|绷带上有血
bruise,人物属性>受伤与医疗>挫伤|瘀伤
cuts,人物属性>受伤与医疗>割伤|削减
scar,人物属性>受伤与医疗>疤痕
scratches,人物属性>受伤与医疗>划痕
stitches,人物属性>受伤与医疗>缝合痕迹|缝针
impaled,人物属性>受伤与医疗>刺穿
bandaid,人物属性>受伤与医疗>创可贴
bandaid_on_arm,人物属性>受伤与医疗>手臂上的绷带
bandaid_on_finger,人物属性>受伤与医疗>手指上的绷带
bandaid_on_face,人物属性>受伤与医疗>创口贴在脸上|脸上的绷带
bandaid_on_cheek,人物属性>受伤与医疗>脸颊上的绷带
bandaid_on_ear,人物属性>受伤与医疗>耳朵上的绷带
bandaid_on_forehead,人物属性>受伤与医疗>额头上的绷带
bandaid_on_nose,人物属性>受伤与医疗>绷带贴在鼻子上|鼻子上的绷带
bandages,人物属性>受伤与医疗>绷带
bandage_on_face,人物属性>受伤与医疗>绷带在脸上
bandage_over_one_eye,人物属性>受伤与医疗>用绷带包扎一只眼睛|缠着绷带的单眼
eyepatch,人物属性>受伤与医疗>眼罩|单眼罩
sarashi,人物属性>受伤与医疗>缠绕的长布条|缠胸布|萨拉希
doctor,人物属性>受伤与医疗>医生
nurse,人物属性>受伤与医疗>护士
hospital,人物属性>受伤与医疗>医院
intravenous_drip,人物属性>受伤与医疗>静脉滴注
surgery,人物属性>受伤与医疗>手术
syringe,人物属性>受伤与医疗>注射器
amputee,人物属性>受伤与医疗>截肢者
drugs,人物属性>受伤与医疗>药物|药品
guro,人物属性>受伤与医疗>内脏|九老
adjusting_eyewear,人物属性>手>调整眼镜
hand_on_another's_face,人物属性>手>手放在别人脸上|手放在别人的脸上
hand_on_own_face,人物属性>手>手放在自己脸上|手在自己的脸上
hands_on_another's_face,人物属性>手>双手放在别人脸上|手放在别人的脸上
hands_on_own_face,人物属性>手>双手放在自己脸上|手放在自己的脸上
hand_on_another's_chest,人物属性>手>手放在别人胸上|手放在对方的胸前|手放在别人的胸前
hand_on_own_chest,人物属性>手>手放在自己胸上|手放在自己的胸前
hand_on_hip,人物属性>手>单手叉腰|单手插腰|手放在臀部
hands_on_hips,人物属性>手>双手叉腰
breast_hold,人物属性>手>托着胸部|抱着胸部|抱胸
breast_grab,人物属性>手>揉胸|乳房抓斗
breast_suppress,人物属性>手>手放在胸上方|手放在乳房上方|乳房抑制
arm_between_breasts,人物属性>手>手放在胸之间|乳房之间的手臂
nipple_tweak,人物属性>手>玩胸部前端|玩弄乳头|乳头_调整
hand_on_own_ass,人物属性>手>手放在自己的as上|手在自己的屁股上
hands_on_own_knees,人物属性>手>手放在自己的膝盖上|双手放在自己的膝盖上
hand_between_legs,人物属性>手>手在腿之间|手放在两腿之间|双腿之间的手
hands_on_feet,人物属性>手>手放在脚上
holding_hands,人物属性>手>牵手
hand_in_pocket,人物属性>手>单手叉口袋|手放在口袋里
hands_in_pockets,人物属性>手>双手插口袋|双手插在口袋里
